tmdb	title	tagline	release	runtime	genres	overview	poster	backdrop	trailers
454	Romeo + Juliet	My only love sprung from my only hate.	1996-11-01	120	Drama Romance 	In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy.. the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach.. where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern.. the bard's dialogue remains.	/9ibvi4wGDyq3DcxIn7ShEMoODUg.jpg	/mOBsokt3Bph9kXjl8fGFUS9yhKM.jpg	8VOAxzgq42A 
8195	Ronin	Your ally could become your enemy.	1998-09-25	122	Action Thriller Crime Adventure 	A briefcase with undisclosed contents – sought by Irish terrorists and the Russian mob – makes its way into criminals' hands. An Irish liaison assembles a squad of mercenaries.. or 'ronin'.. and gives them the thorny task of recovering the case.	/oVolaz0eIANKuPXhRuX4H5dz0HB.jpg	/oluhanwldGYjwIJ1hzfWlhSsXr3.jpg	EkJq5RPu-EY 
10220	Rounders	Trust everyone... But always cut the cards.	1998-09-11	121	Drama Crime 	A young man is a reformed gambler who must return to playing big stakes poker to help a friend pay off loan sharks.	/lJKUJT4ssX8unQh4HGuQK38e7Ov.jpg	/xadKyApLtw09dkl1GlzZ2XTSQrc.jpg	sV5f97wqeW4 
241554	Run All Night	No sin goes unpunished	2015-03-11	114	Action Drama Thriller 	Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss.. Jimmy is haunted by the sins of his past—as well as a dogged police detective who’s been one step behind Jimmy for 30 years. But when Jimmy’s estranged son becomes a target.. Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now.. with nowhere safe to turn.. Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right.	/frzdzHceByAIlwVKvSvY9zqpjyV.jpg	/1TW0w7PvPP8fHxkaToZ2b6b39xc.jpg	plrh783KCqg 
104	Run Lola Run	Every second of every day you're faced with a decision that can change your life.	1998-08-20	81	Action Drama Thriller 	Lola receives a phone call from her boyfriend Manni. He lost 100..000 DM in a subway train that belongs to a very bad guy. She has 20 minutes to raise this amount and meet Manni. Otherwise.. he will rob a store to get the money. Three different alternatives may happen depending on some minor event along Lola's run.	/v0giIi4bTILVhNhJajet3WWY3FA.jpg	/4VFG4Z9hZU1w1g4CpnWm3mFORAZ.jpg	YWb1XVcN3iY 
146238	Runner Runner	The house always wins.	2013-09-24	91	Crime Thriller Drama 	When a poor college student who cracks an online poker game goes bust.. he arranges a face-to-face with the man he thinks cheated him.. a sly offshore entrepreneur.	/ck5jZjv7WVoCBBgTH1gJlhyCLPy.jpg	/l1HZXEp4w5df5jdJbEYtHDwXXek.jpg	UFPqyNvNzvU 
96721	Rush	Everyone's driven by something.	2013-09-02	123	Drama Action 	A biographical drama centered on the rivalry between Formula 1 drivers James Hunt and Niki Lauda during the 1976 Formula One motor-racing season.	/uWcMgxO3p3qwVFUxsRz1HbTzGvT.jpg	/dGIynTkPJpjqdE5RJtFYF5HLM0w.jpg	-URkBFAVZqc 9ZJqxgR-5Xc sjp58RDeeIg QKAr42gxjhM 
2109	Rush Hour	The Fastest Hands in the East Meet the Biggest Mouth in the West.	1998-09-18	98	Action Comedy Crime 	When Hong Kong Inspector Lee is summoned to Los Angeles to investigate a kidnapping.. the FBI doesn't want any outside help and assigns cocky LAPD Detective James Carter to distract Lee from the case. Not content to watch the action from the sidelines.. Lee and Carter form an unlikely partnership and investigate the case themselves.	/9FRw2qOU74GLSWbDkX6wWp6mgQD.jpg	/2kSgmFpvHaktkNFwf9a5zyFRtLs.jpg	7-oN5IEjwIQ 
5175	Rush Hour 2	Get ready for a second Rush!	2001-08-03	90	Action Comedy Crime 	It's vacation time for Carter as he finds himself alongside Lee in Hong Kong wishing for more excitement. While Carter wants to party and meet the ladies.. Lee is out to track down a Triad gang lord who may be responsible for killing two men at the American Embassy. Things get complicated as the pair stumble onto a counterfeiting plot. The boys are soon up to their necks in fist fights and life-threatening situations. A trip back to the U.S. may provide the answers about the bombing.. the counterfeiting.. and the true allegiance of sexy customs agent Isabella.	/aBQf2vMiCINeVC9v6BGVYKXurTh.jpg	/61V2COMOGh9KtzamiAIK8o2O5Cb.jpg	LzJEMPM08jU SCTzYY95Aw4 
5174	Rush Hour 3	The Rush Is On!	2007-08-08	91	Action Comedy Crime 	After an attempted assassination on Ambassador Han.. Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority.. but his personal struggles with a Chinese criminal mastermind named Kenji.. which reveals that it's Lee's long-lost...brother.	/i8IuDWGrtmk7cJXuFAsweaO7buQ.jpg	/7u1DucknNEhDHJs0V3mO2muG28K.jpg	sKf4ef4j6qQ 
