id,tmdb,title,tagline,release_date,poster,backdrop,trailers
65,8077,Alien³,The bitch is back.,1992-05-22,hlabk6APJUeihZDaSD9N6iI0f4g,/9WO0CELoWq6tSdjqCs34Y0qek7l.jpg,TtOBa2SMSPs KUTaNMJJBa8 e45rAwndek8 
66,679,Aliens,This Time It's War,1986-07-18,xwdPTZyyBa4U3V2N0EmozTCeEAY,/jMBpJFRtrtIXymer93XLavPwI3P.jpg,zBvTd9iFqG8 bTCaVjQ8nU4 oSeQQlaCZgU 8OxirbuHsBA P1G3MxTGhr0 e9_q5kEokR4 EvtOQ-MqMzk TIIyIDQOkbg ptEEe42ABdU H9JV7AuFNJo UAEE6ZWffMI 
67,399579,Alita: Battle Angel,An angel falls. A warrior rises.,2019-01-31,xRWht48C2V8XNfzvPehyClOvDni,/8RKBHHRqOMOLh5qW3sS6TSFTd8h.jpg,aj8mN_7Apcw QvHv-99VfcU w7pYhpJaJW8 U3D2vmWD88w islyzIqIBXQ puKWa8hrvA8 e3xdGx7Xa4w kO8fTk6oKQg qyTkUwjy52w yfq-_dbIM4Y hZi3Jx2EZFU e5qAsdNJjeo eMy2Qbq-mBQ hOMuRopLgxg IA2NI63uHrk 5yBV0Fjtma8 
68,446791,All the Money in the World,J. Paul Getty had a fortune. Everyone else paid the price.,2017-12-21,q6nE9Hf0ezszjI4DbCxwzQ73MMy,/dSNFyArsIZP6JcOKmXwa3rqKkOr.jpg,KXHrCBkIxQQ 4ZjnDOK448E SKjOkBUVp7w flQhF8HOJpA m_ny3e2zXMg muk33nlCnQk 
69,891,All the President's Men,The most devastating detective story of this century.,1976-04-04,cPtSHR7D2WGsDBfnC5DxV927hKn,/eHUsvxdZzHyjdPbppBkYkW9EQUx.jpg,LvyglNQguFk vLt6djxhNe8 gn-sRMBbJoY 
70,347123,All the Way,Politics is war.,2016-05-23,j4AEurmnYoRsA1nHhRK9AE4j2CL,/aR1fm30JgnJhpoTOxZ9QSWtfDzb.jpg,gPvUOtxdFQM 
71,324253,All Things Must Pass,The rise and fall of Tower Records,2015-10-16,7oO565fLtDlx2Ief7Jn7YVsY0g,/8azdxVR1RU2BwTHmsocsGSCx1ho.jpg,DAepjF6_N68 
72,262504,Allegiant,Break the boundaries of your world,2016-03-09,eKjckEWBy1YGC1vnkJg9Ux9Khta,/lhNoqbZXk9MeAKJ0WPtn17X1X4E.jpg,LCywVLaNqCg PUSiFAEhq1w 0G0C-vMHcQY MJsDuGRiLqM Gvq6cMtT5nA 94nJo3WVPEE VZoNM1q6_8M OBdXW2Fhzvs 
73,369885,Allied,The enemy is listening.,2016-11-17,sV4lXM32quwminL3TP36nlNPp7Q,/Acyjn5ITzMKX7o9hdOor6SE2IWZ.jpg,HSCQWX-pUSg j9S0qeWm8Zo 0f1_fbdB6RQ -hQGiozwHiI 4j57lkCaFLc Jue2_mLMqvY ImIAmFJQimI w2JQLC_4eI0 uSze6wMReFs qsjQlGNs3BY 
74,222936,Aloha,Sometimes you have to say goodbye before you can say hello.,2015-05-27,58Y4CjcRX8AtMNtI0AXu9H7iebP,/1Z9wc3ZJpYTmUAEYi5PXhxup6kp.jpg,yBZnLY-0itg hZGP4AR46Eg 
75,399360,Alpha,Leaders are born from survival,2018-08-17,afdZAIcAQscziqVtsEoh2PwsYTW,/nKMeTdm72LQ756Eq20uTjF1zDXu.jpg,uIxnTi4GmCo 
76,489931,American Animals,You don't know where the line is until you cross it,2018-06-01,aLbdKxgxuOPvs6CTlmzoOQ4Yg3j,/3ccBOsbVpgwN9K5whd2UB9ACebG.jpg,SKvPVvy2Kn8 
77,415842,American Assassin,Assassins aren't born. They're made.,2017-09-14,w6vjeHx3UEaBXIyc8VFqyZYKznD,/wb78lmqAXsUVG84xrmAOJBfgZHr.jpg,D9iWGcx4krg OLSyJT4y_I8 
78,14,American Beauty,Look closer.,1999-09-15,wby9315QzVKdW9BonAefg8jGTTb,/aG8EYucTWxBULAbDOrsMKzmoVbS.jpg,3ycmmJ6rxA8 
79,4982,American Gangster,There are two sides to the American dream,2007-11-02,8sV6nWuKczuXRt0C6EWoXqJAj6G,/7fIKu7MY7YGVdh9f3W94iYmotpG.jpg,BV_nssS6Zkg 
80,73,American History X,Some Legacies Must End.,1998-10-30,c2gsmSQ2Cqv8zosqKOCwRS0GFBS,/nOO83QWfbRxMdru0vtQ7jGNT5Bq.jpg,JsPW6Fj3BUI 
81,337170,American Made,Based on a True Lie,2017-08-08,23ILgoPSO5ShKcTZOuiTVfqFAUB,/jcKzxRGYiXuS7ctTHLdw9wH8d7V.jpg,AEBIJRAkujM 
82,2105,American Pie,There's nothing like your first piece.,1999-07-09,5P68by2Thn8wHAziyWGEw2O7hco,/cvH1gNIMRITdLzoWv1HNAbRyH3n.jpg,Sithad108Og 
83,2770,American Pie 2,This Summer It's All About Sticking Together.,2001-08-10,wa3vePBNEfAJtzXs8WFTyD7bliD,/omrH6k9RDByIJCjiu9ximv9qZNJ.jpg,ntxIBzJ0tU8 
84,1359,American Psycho,I think my mask of sanity is about to slip.,2000-01-21,AdBOkKdmeYLWDZ1b9PCpyesiudo,/2Tawvc0JMmR9nBXD3nhBThTQP2X.jpg,5YnGhW4UEhc 
85,190859,American Sniper,The most lethal sniper in U.S. history.,2014-12-11,i1U46OwMc6vlm7OoSUKfqUH615e,/tmCdlpd3hSxT6FDF5VWkI4R3DEk.jpg,cRbAXWfthtA 5bP1f_1o-zo 
86,8273,American Wedding,Forever hold your piece.,2003-08-01,iQAHdYEQwHP5eTz2amOItX4WI5r,/2ZKMFAO7kiInBe1VqcZKHJ6JaK.jpg,YmIIHsPa2F8 4bqeLmhNbfI 
87,432602,An Inconvenient Sequel: Truth to Power,Fight like your world depends on it,2017-07-28,2WauUg4DcUxng5nwhisu7UFZq4Z,/9trJj4yG18FGT29pPnUjtJd2ouq.jpg,huX1bmfdkyA 
